RideID,DateKey,RideTime,ServiceType,RideStatus,SourceLocation,SourceAreaKey,DestinationLocation,DestAreaKey,DurationMin,DistanceKM,RideCharge,MiscCharge,TotalFare,PaymentMethod
RD3161218751875354,20240715,08:30:40.542646,cab economy,completed,Balagere Harbor,,Harohalli Nagar,,39,27.21,764.83,31.51,796.34,Amazon Pay
RD8171514284594096,20240705,23:36:51.542646,auto,completed,Basavanagudi 3rd Block,,Bikasipura 1st Stage,,89,34.03,314.83,49.52,364.35,Paytm
RD9376481122237926,20240723,11:05:37.542646,auto,cancelled,Babusapalya Cove,,Kothaguda Terrace,,25,20.24,,,,
RD3676889143182765,20240624,08:45:10.542646,cab economy,completed,Mahadevapura Mews,,Kanakapura Arc,,89,31.17,484.73,15.84,500.57,QR scan
RD6639410275948084,20240715,00:26:44.542646,cab economy,completed,Ganganagar Cove,,Basaveshwaranagar Colony,,95,27.21,663.5,14.13,677.63,Amazon Pay
RD5922205486441934,20240702,01:28:29.542646,auto,completed,HSR Layout Area,,JP Nagar Viewpoint,,18,33.69,456.73,25.19,481.92,QR scan
RD9557099396888459,20240723,20:55:28.542646,cab economy,completed,Arekere Heights,,Dooravani Nagar Pointe,,85,20.44,836.39,14.95,851.34,GPay
RD9473873953525644,20240718,13:38:33.542646,parcel,completed,Electronic City Village,1.0,Ganganagar Station,,89,35.31,724.76,31.34,756.1,QR scan
RD1285566012167240,20240808,07:59:53.542646,parcel,completed,Mysore Road Lane,,Billekahalli 6th Block,,72,45.99,641.55,21.48,663.03,Amazon Pay
RD7238628094142076,20240710,12:30:07.542646,bike lite,completed,Kundalahalli Alley,,RT Nagar 5th Block,,94,44.43,571.5,47.63,619.13,QR scan
RD0988431403518514,20240803,16:57:14.542646,auto,completed,Hosur Road Mews,,Nagawara Layout,,80,5.25,356.07,33.18,389.25,QR scan
RD1746298517733148,20240708,17:46:15.542646,cab economy,completed,Bikasipura Close,,Kadugodi Park,,42,18.53,920.85,44.03,964.88,Paytm
RD7341504775683700,20240810,13:46:07.542646,cab economy,completed,Mahadevapura Track,,Whitefield Cut,7.0,68,5.11,595.8,23.72,619.52,Paytm
RD0256680118366791,20240815,22:59:04.542646,parcel,cancelled,Bhadrappa Layout Vista,,Subramanyapura Road,,82,29.83,,,,
RD7115059402806582,20240722,13:07:16.542646,bike,cancelled,Frazer Town Works,,Hebbal Kempapura Viewpoint,2.0,44,49.92,,,,
