DateKey,City,MaxTemperature,MinTemperature,AvgTemperature,RainfallMM,HumidityPct,WindSpeed
20220101,Bengaluru,25.9,18.1,20.8,2.3,80,22.1
20220102,Bengaluru,27.0,16.2,20.7,0.0,74,18.8
20220103,Bengaluru,26.9,15.6,20.5,0.0,71,16.6
20220104,Bengaluru,26.5,16.3,20.4,0.0,69,16.2
20220105,Bengaluru,26.4,14.8,20.2,0.0,69,15.9
20220106,Bengaluru,27.0,16.1,20.9,0.0,72,15.5
20220107,Bengaluru,26.3,17.3,21.3,0.1,71,17.2
20220108,Bengaluru,27.0,17.8,21.6,0.0,71,17.3
20220109,Bengaluru,27.0,17.1,21.4,0.0,71,13.7
20220110,Bengaluru,27.0,17.1,21.5,0.2,73,16.2
20220111,Bengaluru,27.9,16.3,21.6,0.1,72,14.3
20220112,Bengaluru,27.1,18.1,21.8,0.2,72,13.0
20220113,Bengaluru,27.4,17.1,21.5,0.0,68,14.7
20220114,Bengaluru,27.3,17.6,21.6,0.0,69,13.0
20220115,Bengaluru,28.2,16.2,21.7,0.0,65,16.6
20220116,Bengaluru,27.0,18.2,21.6,0.5,73,18.2
20220117,Bengaluru,26.8,17.3,21.1,0.2,71,19.5
20220118,Bengaluru,27.3,16.0,21.2,0.0,66,14.7
20220119,Bengaluru,27.1,15.8,20.8,0.0,63,13.6
20220120,Bengaluru,28.2,13.8,20.6,0.0,54,13.0
20220121,Bengaluru,30.2,15.2,22.0,0.0,50,18.0
20220122,Bengaluru,29.2,14.4,21.5,0.0,50,12.5
20220123,Bengaluru,28.5,14.5,21.3,0.0,48,12.9
20220124,Bengaluru,27.5,13.8,20.8,0.0,51,13.2
20220125,Bengaluru,27.6,14.2,20.8,0.0,53,14.2
20220126,Bengaluru,27.4,16.8,21.8,0.0,66,13.0
20220127,Bengaluru,25.2,17.4,21.1,2.3,74,16.6
20220128,Bengaluru,26.6,17.1,21.1,0.0,70,24.0
20220129,Bengaluru,27.9,16.0,21.2,0.0,72,19.3
20220130,Bengaluru,28.2,17.1,22.1,0.2,74,12.5
20220131,Bengaluru,29.7,17.9,23.4,0.0,67,15.5
20220201,Bengaluru,29.5,18.2,23.1,0.0,65,11.6
20220202,Bengaluru,29.9,16.7,22.7,0.0,64,13.7
20220203,Bengaluru,29.0,16.7,22.4,0.0,64,13.5
20220204,Bengaluru,29.4,15.5,22.3,0.0,52,12.3
20220205,Bengaluru,29.7,16.2,22.4,0.0,56,14.4
